Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
151	Spectrogram 1	5	515.020	515.080	4000.0	18000.0	8984.4	P-peep	6.637447	6.660856	8.299926	1.209725	43.320246	0.000000
152	Spectrogram 1	5	515.180	515.230	4000.0	18000.0	6250.0	Phee	5.305784	4.345753	4.579697	0.266401	28.891738	0.000000
153	Spectrogram 1	5	515.290	515.330	4000.0	18000.0	8984.4	Trill	1.877448	4.164048	3.881073	0.659161	28.145502	0.000000
154	Spectrogram 1	5	546.230	546.290	4000.0	18000.0	4296.9	Trillphee	7.359388	6.092437	1.197282	-0.730415	30.355263	0.000000
155	Spectrogram 1	5	546.440	546.480	4000.0	18000.0	4101.6	Trill	6.941370	4.901756	2.516044	-0.129798	28.126655	0.000000
156	Spectrogram 1	6	546.740	546.800	4000.0	18000.0	4101.6	Trillphee	10.042484	8.108248	-0.424542	-1.677606	29.602915	0.000000
157	Spectrogram 1	6	547.340	547.410	4000.0	18000.0	16210.9	Phee	10.739723	8.413624	-1.380104	-0.464354	32.454800	0.000000
158	Spectrogram 1	6	547.620	547.650	4000.0	18000.0	4687.5	Twitter	14.232128	11.310699	-2.512501	-2.602524	31.348183	0.000000
159	Spectrogram 1	6	547.730	547.870	4000.0	18000.0	4687.5	Trillphee	5.548875	5.972196	-1.684101	-0.432959	29.102310	0.000000
983	Spectrogram 1	2	552.760	552.810	4000.0	18000.0	4101.6	Phee	4.261773	6.314380	NaN	NaN	28.662502	0.000000
160	Spectrogram 1	6	566.800	566.870	4000.0	18000.0	4101.6	Trillphee	5.666189	7.556082	-1.584512	-3.203971	28.207687	0.000000
161	Spectrogram 1	6	588.160	588.610	4000.0	18000.0	6054.7	Trill	-0.886867	7.945478	-0.008336	0.820105	34.302256	0.000000
162	Spectrogram 1	6	589.140	589.400	4000.0	18000.0	4101.6	Trill	1.729902	5.852421	-0.340015	0.541594	33.621490	0.000000
163	Spectrogram 1	5	603.730	603.940	4000.0	18000.0	7421.9	Trill	2.604531	4.981535	0.553309	0.104655	30.746983	0.000000
164	Spectrogram 1	5	612.220	612.300	4000.0	18000.0	11914.1	Trill	5.251975	5.910828	1.411616	0.175194	34.208143	0.000000
165	Spectrogram 1	5	616.320	616.340	4000.0	18000.0	4296.9	Sd-peep	2.168021	2.695684	0.472746	0.783405	28.599399	0.000000
166	Spectrogram 1	5	618.740	618.870	4000.0	18000.0	8398.4	Trill	4.610828	5.949657	1.583041	2.553149	37.853466	0.000000
167	Spectrogram 1	5	630.160	630.230	4000.0	18000.0	9765.6	P-peep	5.493068	5.150081	0.802308	-0.188510	31.194275	0.000000
168	Spectrogram 1	5	636.870	636.890	4000.0	18000.0	17968.7	P-peep	3.605532	3.849869	0.679471	0.102790	28.447501	0.000000
169	Spectrogram 1	5	638.060	638.110	4000.0	18000.0	10351.6	P-peep	3.102574	4.407805	2.484016	0.786390	35.744353	0.000000
984	Spectrogram 1	2	638.210	638.260	4000.0	18000.0	15429.7	Phee	10.439945	12.810429	NaN	NaN	33.578226	0.000000
